Phone (Language),Response,value
ɪ (en-us),ɑ̃,0.02065095398428732
ɪ (en-us),e,0.1982042648709318
ɪ (en-us),ɛ,0.2904601571268237
ɪ (en-us),ɛ̃,0.0186307519640853
ɪ (en-us),i,0.08148148148148146
ɪ (en-us),o,0.014365881032547708
ɪ (en-us),ø,0.1032547699214364
ɪ (en-us),œ,0.0635241301907968
ɪ (en-us),ɔ,0.008754208754208757
ɪ (en-us),ɔ̃,0.05566778900112228
ɪ (en-us),u,0.025364758698092037
ɪ (en-us),y,0.09764309764309752
o (de),a,0.005797101449275362
o (de),ɑ̃,0.12173913043478261
o (de),e,0.04347826086956521
o (de),ɛ,0.008695652173913044
o (de),ɛ̃,0.0
o (de),i,0.0
o (de),o,0.2521739130434783
o (de),ø,0.008695652173913044
o (de),œ,0.0
o (de),ɔ,0.02608695652173913
o (de),ɔ̃,0.20869565217391303
o (de),u,0.30434782608695654
o (de),y,0.02028985507246377
o (fr),a,0.020769230769230762
o (fr),ɑ̃,0.12615384615384595
o (fr),e,0.024615384615384622
o (fr),ɛ,0.02717948717948718
o (fr),ɛ̃,0.12820512820512803
o (fr),i,0.02897435897435897
o (fr),o,0.1738461538461538
o (fr),ø,0.019230769230769242
o (fr),œ,0.02615384615384616
o (fr),ɔ,0.05435897435897435
o (fr),ɔ̃,0.17538461538461542
o (fr),u,0.17717948717948712
o (fr),y,0.017948717948717954
ø (fr),a,0.0065934065934065925
ø (fr),ɑ̃,0.023199023199023196
ø (fr),e,0.10500610500610483
ø (fr),ɛ,0.0796092796092795
ø (fr),ɛ̃,0.02954822954822956
ø (fr),i,0.05323565323565321
ø (fr),o,0.06544566544566538
ø (fr),ø,0.25787545787545796
ø (fr),œ,0.06031746031746031
ø (fr),ɔ,0.004395604395604396
ø (fr),ɔ̃,0.12649572649572638
ø (fr),u,0.0864468864468863
ø (fr),y,0.10183150183150173
o (pt-br),a,0.09837398373983741
o (pt-br),ɑ̃,0.15772357723577232
o (pt-br),e,0.017073170731707315
o (pt-br),ɛ,0.049593495934959354
o (pt-br),ɛ̃,0.1398373983739837
o (pt-br),i,0.017886178861788615
o (pt-br),o,0.09268292682926832
o (pt-br),ø,0.004878048780487805
o (pt-br),œ,0.04227642276422764
o (pt-br),ɔ,0.14959349593495935
o (pt-br),ɔ̃,0.09105691056910571
o (pt-br),u,0.1333333333333334
o (pt-br),y,0.005691056910569106
õ (pt-br),a,0.1441975308641975
õ (pt-br),ɑ̃,0.20444444444444418
õ (pt-br),e,0.0049382716049382715
õ (pt-br),ɛ,0.03209876543209878
õ (pt-br),ɛ̃,0.17876543209876525
õ (pt-br),i,0.0
õ (pt-br),o,0.08641975308641973
õ (pt-br),ø,0.00345679012345679
õ (pt-br),œ,0.04395061728395065
õ (pt-br),ɔ,0.11111111111111108
õ (pt-br),ɔ̃,0.09283950617283951
õ (pt-br),u,0.09777777777777776
õ (pt-br),y,0.0
øː (de-mun),a,0.016666666666666666
øː (de-mun),ɑ̃,0.03827160493827163
øː (de-mun),e,0.048765432098765465
øː (de-mun),ɛ,0.048765432098765445
øː (de-mun),ɛ̃,0.09320987654320988
øː (de-mun),i,0.011728395061728394
øː (de-mun),o,0.12222222222222218
øː (de-mun),ø,0.39444444444444454
øː (de-mun),œ,0.022222222222222227
øː (de-mun),ɔ,0.011728395061728394
øː (de-mun),ɔ̃,0.054320987654320974
øː (de-mun),u,0.08209876543209876
øː (de-mun),y,0.05555555555555555
øː (et),a,0.021111111111111112
øː (et),ɑ̃,0.06666666666666668
øː (et),e,0.05000000000000001
øː (et),ɛ,0.17111111111111116
øː (et),ɛ̃,0.13444444444444448
øː (et),i,0.0
øː (et),o,0.037777777777777785
øː (et),ø,0.2466666666666666
øː (et),œ,0.12777777777777782
øː (et),ɔ,0.013333333333333332
øː (et),ɔ̃,0.07333333333333339
øː (et),u,0.026666666666666665
øː (et),y,0.031111111111111107
œ (fr),a,0.06155484558040465
œ (fr),ɑ̃,0.025772097976570818
œ (fr),e,0.07625133120340777
œ (fr),ɛ,0.19105431309904172
œ (fr),ɛ̃,0.07177848775292858
œ (fr),i,0.08753993610223641
œ (fr),o,0.017891373801916938
œ (fr),ø,0.12332268370607029
œ (fr),œ,0.13652822151224708
œ (fr),ɔ,0.022790202342917995
œ (fr),ɔ̃,0.07944621938232152
œ (fr),u,0.026198083067092644
œ (fr),y,0.07987220447284339
œ (tr),a,0.026950354609929082
œ (tr),ɑ̃,0.009929078014184396
œ (tr),e,0.0723404255319149
œ (tr),ɛ,0.25390070921985813
œ (tr),ɛ̃,0.14609929078014186
œ (tr),i,0.0851063829787234
œ (tr),o,0.00425531914893617
œ (tr),ø,0.1191489361702128
œ (tr),œ,0.15319148936170215
œ (tr),ɔ,0.01276595744680851
œ (tr),ɔ̃,0.03404255319148936
œ (tr),u,0.032624113475177303
œ (tr),y,0.04964539007092198
oʊ (en-us),a,0.0686666666666666
oʊ (en-us),ɑ̃,0.13755555555555568
oʊ (en-us),e,0.012666666666666682
oʊ (en-us),ɛ,0.027555555555555552
oʊ (en-us),ɛ̃,0.19000000000000017
oʊ (en-us),i,0.0017777777777777776
oʊ (en-us),o,0.16288888888888897
oʊ (en-us),ø,0.012444444444444449
oʊ (en-us),œ,0.03888888888888889
oʊ (en-us),ɔ,0.0764444444444443
oʊ (en-us),ɔ̃,0.12399999999999989
oʊ (en-us),u,0.14244444444444448
oʊ (en-us),y,0.004666666666666666
ɔ (de),a,0.29444444444444445
ɔ (de),ɑ̃,0.08055555555555555
ɔ (de),e,0.008333333333333333
ɔ (de),ɛ,0.027777777777777776
ɔ (de),ɛ̃,0.20555555555555552
ɔ (de),i,0.0
ɔ (de),o,0.044444444444444446
ɔ (de),ø,0.002777777777777778
ɔ (de),œ,0.06666666666666667
ɔ (de),ɔ,0.16944444444444443
ɔ (de),ɔ̃,0.04722222222222222
ɔ (de),u,0.019444444444444445
ɔ (de),y,0.03333333333333333
ɔ (fr),a,0.10187667560321716
ɔ (fr),ɑ̃,0.0907953529937443
ɔ (fr),e,0.030026809651474525
ɔ (fr),ɛ,0.06076854334226982
ɔ (fr),ɛ̃,0.18266309204647038
ɔ (fr),i,0.0550491510277033
ɔ (fr),o,0.06094727435210002
ɔ (fr),ø,0.046648793565683584
ɔ (fr),œ,0.08042895442359235
ɔ (fr),ɔ,0.08096514745308296
ɔ (fr),ɔ̃,0.1102770330652368
ɔ (fr),u,0.05630026809651465
ɔ (fr),y,0.04325290437890973
ɔ̃ (fr),a,0.021221864951768494
ɔ̃ (fr),ɑ̃,0.17041800643086827
ɔ̃ (fr),e,0.014790996784565923
ɔ̃ (fr),ɛ,0.02315112540192926
ɔ̃ (fr),ɛ̃,0.11575562700964619
ɔ̃ (fr),i,0.021436227224008574
ɔ̃ (fr),o,0.1588424437299038
ɔ̃ (fr),ø,0.019078242229367635
ɔ̃ (fr),œ,0.019506966773847802
ɔ̃ (fr),ɔ,0.02572347266881029
ɔ̃ (fr),ɔ̃,0.2529474812433016
ɔ̃ (fr),u,0.15219721329046101
ɔ̃ (fr),y,0.0049303322615219716
ɔ (pt-br),a,0.351111111111111
ɔ (pt-br),ɑ̃,0.1244444444444445
ɔ (pt-br),e,0.0035555555555555553
ɔ (pt-br),ɛ,0.042666666666666686
ɔ (pt-br),ɛ̃,0.2097777777777778
ɔ (pt-br),i,0.006222222222222223
ɔ (pt-br),o,0.007111111111111111
ɔ (pt-br),ø,0.0
ɔ (pt-br),œ,0.05155555555555557
ɔ (pt-br),ɔ,0.19111111111111112
ɔ (pt-br),ɔ̃,0.008
ɔ (pt-br),u,0.0017777777777777776
ɔ (pt-br),y,0.002666666666666667
u (en-us),a,0.003715846994535519
u (en-us),ɑ̃,0.05136612021857916
u (en-us),e,0.08939890710382499
u (en-us),ɛ,0.02163934426229509
u (en-us),ɛ̃,0.043278688524590145
u (en-us),i,0.04131147540983606
u (en-us),o,0.15737704918032797
u (en-us),ø,0.15497267759562855
u (en-us),œ,0.011366120218579242
u (en-us),ɔ,0.006557377049180327
u (en-us),ɔ̃,0.20240437158469957
u (en-us),u,0.11519125683060095
u (en-us),y,0.1014207650273223
u (fr),a,0.0036441586280814577
u (fr),ɑ̃,0.06838156484458724
u (fr),e,0.057449088960342926
u (fr),ɛ,0.030868167202572346
u (fr),ɛ̃,0.04951768488745977
u (fr),i,0.07416934619506962
u (fr),o,0.17470525187567015
u (fr),ø,0.05294748124330114
u (fr),œ,0.012218649517684895
u (fr),ɔ,0.008360128617363346
u (fr),ɔ̃,0.22229367631296904
u (fr),u,0.17792068595927146
u (fr),y,0.06752411575562696
u (pt-br),a,0.021527777777777774
u (pt-br),ɑ̃,0.13263888888888878
u (pt-br),e,0.03819444444444448
u (pt-br),ɛ,0.020833333333333332
u (pt-br),ɛ̃,0.061805555555555565
u (pt-br),i,0.020833333333333332
u (pt-br),o,0.21805555555555547
u (pt-br),ø,0.015277777777777777
u (pt-br),œ,0.011111111111111112
u (pt-br),ɔ,0.02291666666666667
u (pt-br),ɔ̃,0.2062499999999999
u (pt-br),u,0.2229166666666665
u (pt-br),y,0.0076388888888888895
ũ (pt-br),a,0.02814814814814815
ũ (pt-br),ɑ̃,0.09481481481481481
ũ (pt-br),e,0.04222222222222225
ũ (pt-br),ɛ,0.02592592592592592
ũ (pt-br),ɛ̃,0.12222222222222225
ũ (pt-br),i,0.01851851851851852
ũ (pt-br),o,0.17555555555555555
ũ (pt-br),ø,0.037037037037037056
ũ (pt-br),œ,0.011851851851851851
ũ (pt-br),ɔ,0.04074074074074076
ũ (pt-br),ɔ̃,0.21259259259259256
ũ (pt-br),u,0.1851851851851852
ũ (pt-br),y,0.005185185185185185
u (tr),a,0.004166666666666667
u (tr),ɑ̃,0.07500000000000002
u (tr),e,0.07638888888888891
u (tr),ɛ,0.09722222222222222
u (tr),ɛ̃,0.0375
u (tr),i,0.1152777777777778
u (tr),o,0.16250000000000003
u (tr),ø,0.03888888888888888
u (tr),œ,0.016666666666666666
u (tr),ɔ,0.00972222222222222
u (tr),ɔ̃,0.14861111111111117
u (tr),u,0.17222222222222225
u (tr),y,0.04583333333333333
uː (de-mun),a,0.0
uː (de-mun),ɑ̃,0.0577777777777778
uː (de-mun),e,0.06000000000000001
uː (de-mun),ɛ,0.0
uː (de-mun),ɛ̃,0.0007407407407407407
uː (de-mun),i,0.002962962962962963
uː (de-mun),o,0.2970370370370367
uː (de-mun),ø,0.03703703703703704
uː (de-mun),œ,0.0
uː (de-mun),ɔ,0.002962962962962963
uː (de-mun),ɔ̃,0.31777777777777744
uː (de-mun),u,0.21777777777777768
uː (de-mun),y,0.005925925925925926
ɯ (tr),a,0.0033898305084745766
ɯ (tr),ɑ̃,0.013559322033898305
ɯ (tr),e,0.11525423728813564
ɯ (tr),ɛ,0.18870056497175142
ɯ (tr),ɛ̃,0.06892655367231638
ɯ (tr),i,0.22033898305084743
ɯ (tr),o,0.030508474576271184
ɯ (tr),ø,0.08135593220338985
ɯ (tr),œ,0.05310734463276837
ɯ (tr),ɔ,0.0033898305084745766
ɯ (tr),ɔ̃,0.05310734463276839
ɯ (tr),u,0.07005649717514127
ɯ (tr),y,0.09830508474576274
ʊ (de-mun),a,0.003703703703703704
ʊ (de-mun),ɑ̃,0.13796296296296304
ʊ (de-mun),e,0.03703703703703704
ʊ (de-mun),ɛ,0.005555555555555556
ʊ (de-mun),ɛ̃,0.09629629629629632
ʊ (de-mun),i,0.09629629629629632
ʊ (de-mun),o,0.21666666666666679
ʊ (de-mun),ø,0.021296296296296296
ʊ (de-mun),œ,0.00462962962962963
ʊ (de-mun),ɔ,0.0287037037037037
ʊ (de-mun),ɔ̃,0.16944444444444445
ʊ (de-mun),u,0.14537037037037037
ʊ (de-mun),y,0.03703703703703704
ʊ (en-us),a,0.0877192982456139
ʊ (en-us),ɑ̃,0.07625730994152037
ʊ (en-us),e,0.02970760233918128
ʊ (en-us),ɛ,0.11228070175438587
ʊ (en-us),ɛ̃,0.20842105263157912
ʊ (en-us),i,0.039999999999999994
ʊ (en-us),o,0.056374269005847924
ʊ (en-us),ø,0.05754385964912279
ʊ (en-us),œ,0.12046783625730978
ʊ (en-us),ɔ,0.057777777777777685
ʊ (en-us),ɔ̃,0.07976608187134493
ʊ (en-us),u,0.04935672514619879
ʊ (en-us),y,0.02432748538011696
ʌ (en-us),a,0.2647482014388493
ʌ (en-us),ɑ̃,0.1050359712230214
ʌ (en-us),e,0.006235011990407673
ʌ (en-us),ɛ,0.057314148681055097
ʌ (en-us),ɛ̃,0.2693045563549162
ʌ (en-us),i,0.010551558752997603
ʌ (en-us),o,0.012949640287769786
ʌ (en-us),ø,0.017985611510791373
ʌ (en-us),œ,0.08537170263788954
ʌ (en-us),ɔ,0.09664268585131874
ʌ (en-us),ɔ̃,0.05059952038369306
ʌ (en-us),u,0.012230215827338136
ʌ (en-us),y,0.011031175059952037
y (fr),a,0.0004246284501061571
y (fr),ɑ̃,0.006369426751592356
y (fr),e,0.24883227176220812
y (fr),ɛ,0.048619957537154944
y (fr),ɛ̃,0.0004246284501061571
y (fr),i,0.19851380042462874
y (fr),o,0.008704883227176224
y (fr),ø,0.10764331210191078
y (fr),œ,0.004246284501061571
y (fr),ɔ,0.0010615711252653928
y (fr),ɔ̃,0.014012738853503192
y (fr),u,0.013800424628450119
y (fr),y,0.34734607218683694
y (tr),a,0.0
y (tr),ɑ̃,0.0044444444444444444
y (tr),e,0.1833333333333333
y (tr),ɛ,0.10888888888888887
y (tr),ɛ̃,0.0022222222222222222
y (tr),i,0.1922222222222222
y (tr),o,0.0077777777777777776
y (tr),ø,0.19111111111111115
y (tr),œ,0.01111111111111111
y (tr),ɔ,0.0
y (tr),ɔ̃,0.0011111111111111111
y (tr),u,0.005555555555555555
y (tr),y,0.29222222222222227
yː (de-mun),a,0.0
yː (de-mun),ɑ̃,0.018518518518518524
yː (de-mun),e,0.1343915343915343
yː (de-mun),ɛ,0.00582010582010582
yː (de-mun),ɛ̃,0.004232804232804233
yː (de-mun),i,0.03492063492063492
yː (de-mun),o,0.07354497354497355
yː (de-mun),ø,0.24444444444444408
yː (de-mun),œ,0.0005291005291005291
yː (de-mun),ɔ,0.0005291005291005291
yː (de-mun),ɔ̃,0.05873015873015876
yː (de-mun),u,0.06243386243386243
yː (de-mun),y,0.36190476190476195
yː (et),a,0.0
yː (et),ɑ̃,0.003448275862068966
yː (et),e,0.19425287356321844
yː (et),ɛ,0.029885057471264364
yː (et),ɛ̃,0.0011494252873563218
yː (et),i,0.01839080459770115
yː (et),o,0.071264367816092
yː (et),ø,0.25632183908045986
yː (et),œ,0.0
yː (et),ɔ,0.0
yː (et),ɔ̃,0.07586206896551725
yː (et),u,0.040229885057471264
yː (et),y,0.3091954022988506
ʏ (de-mun),a,0.015277777777777776
ʏ (de-mun),ɑ̃,0.028703703703703717
ʏ (de-mun),e,0.1055555555555555
ʏ (de-mun),ɛ,0.08472222222222223
ʏ (de-mun),ɛ̃,0.04583333333333336
ʏ (de-mun),i,0.08703703703703701
ʏ (de-mun),o,0.09490740740740741
ʏ (de-mun),ø,0.23935185185185182
ʏ (de-mun),œ,0.05324074074074076
ʏ (de-mun),ɔ,0.013425925925925924
ʏ (de-mun),ɔ̃,0.07268518518518514
ʏ (de-mun),u,0.06944444444444442
ʏ (de-mun),y,0.0898148148148148
